First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2020-12,8,0,1546,1752,28244000,3934400,266370,0,0.1053072869,0.08637598602,0.08139644695,10314,0.1498933488,1.133247089,16121.00457,0.1393003824,0.148731412,0.1698662013,2738.413806,407.288152
2020-12,14,0,446,468,8852000,1293730,0,0,1,,,10314,0.04324219507,1.049327354,18914.52991,0.1461511523,0.1461511523,0.04537521815,858.2509211,125.4343611
2020-12,9,0,1408,1582,27214000,3702920,272564,0,0.1130917633,0.09617889158,0.08886822238,10314,0.1365134768,1.123579545,17202.2756,0.1360667304,0.1460823106,0.1533837502,2638.549544,385.445414
2020-12,7,0,1682,1944,29632000,4088550,332871,0,0.1238685245,0.09492964011,0.08725170373,10314,0.1630793097,1.155766944,15242.79835,0.1379775243,0.1492110219,0.1884816754,2872.988171,428.6815009
2020-12,2,0,3570,4196,29776000,4112470,427496,0,0.1589829627,0.1244034628,0.1154749949,10314,0.3461314718,1.17535014,7096.282173,0.1381135814,0.1524706475,0.4068256738,2886.949777,440.1751018
2020-12,10,0,1291,1499,27074000,3651530,250834,0,0.1040191333,0.0800363787,0.07398152994,10314,0.1251696723,1.161115414,18061.37425,0.1348722021,0.144136958,0.1453364359,2624.975761,378.3560209
2020-12,12,0,1028,1162,22398000,3379220,174671,0,0.1016921383,0.06025984891,0.06985672871,10314,0.09967035098,1.130350195,19275.38726,0.1508715064,0.1586700152,0.1126624006,2171.611402,344.5696141
2020-12,1,0,4585,5796,33133000,4524990,472125,5338,0.1562640239,0.123709619,0.1166773559,10314,0.4445414,1.264122137,5716.52864,0.1365704886,0.1506587692,0.5619546248,3212.429707,483.9807058
2021-01,0,10295,10295,17510,59816000,8060230,804693,10469,0.1486134773,0.1215690287,0.1156971192,10314,0.9981578437,1.700825644,3416.105083,0.1347504012,0.1480281864,1.697692457,5799.495831,858.4888501
2021-01,6,0,2361,2711,37805000,5167550,396658,0,0.1166910783,0.09090252404,0.08543680293,10314,0.2289121582,1.14824227,13945.03873,0.1366895913,0.1471818013,0.2628466162,3665.406244,539.4810937
2021-01,1,0,5359,6578,39655000,5367790,593782,89,0.1662740312,0.1373169427,0.130727645,10314,0.5195850301,1.227467811,6028.428094,0.1353622494,0.1503337032,0.6377738996,3844.774093,577.9991274
2021-01,9,0,1775,2031,34836000,4734720,329741,0,0.1053231531,0.07632067208,0.07304910413,10314,0.1720961799,1.144225352,17152.1418,0.1359145711,0.1453800953,0.1969168121,3377.545084,491.0278263
2021-01,14,0,1,1,20000,3000,0,0,,,,10314,0.00009695559434,1,20000,0.15,0.15,0.00009695559434,1.939111887,0.290866783
2021-01,5,0,2552,2947,36979000,5036530,355653,0,0.1072696073,0.08258025272,0.07511322023,10314,0.2474306768,1.154780564,12548.01493,0.136199735,0.1458174369,0.2857281365,3585.320923,522.8023075
